,drug_id,smiles
0,BRD-K71103788,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
1,BRD-K21520694,CC(=O)NS(=O)(=O)c1ccc(N)cc1
2,BRD-A09161221,CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@]21C
3,BRD-K25875056,O=S(=O)(NCCCCCCc1ccccc1)c1cccc2c(Cl)cccc12
4,BRD-K59962020,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2cc1C
5,BRD-K82109576,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
6,BRD-K96084870,CN(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1
7,BRD-K35960502,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
8,BRD-K98548675,C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21
9,BRD-K12513978,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
10,BRD-K77987382,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
11,BRD-K23623876,Fc1cccc(C=NN=Cc2cccc(F)c2)c1
12,BRD-A65597028,COC1(C2=NCCN2)COc2ccccc2O1
13,BRD-A18497530,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O
14,BRD-K70505054,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
15,BRD-K33864865,CC(C)Oc1cccc(-n2c(CCc3c[nH]c4ccc(Br)cc34)nc3ccccc3c2=O)c1
16,BRD-A26334849,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
17,BRD-K63792901,CC#CCOC(=O)C1=CCCN(C)C1
18,BRD-K63068307,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1
19,BRD-A49172652,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
20,BRD-K69932463,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO
21,BRD-K86887724,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
22,BRD-K60640630,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)CCl
23,BRD-K43236057,OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O
24,BRD-K15164005,O=C1C(=O)N(Cc2ccc(Cl)c(Cl)c2)c2ccccc21
25,BRD-A58955223,CS(=O)CCCCN=C=S
26,BRD-K04887706,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1
27,BRD-K96799727,NS(=O)(=O)C#Cc1ccccc1
28,BRD-K15262564,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
29,BRD-A02333338,CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CNC1C2C
30,BRD-A80960055,CC1C(=O)C(=O)C=C2C1=CC=C1[C@]2(C)CC[C@]2(C)[C@H]3C[C@@](C)(C(=O)O)CC[C@@]3(C)CC[C@@]12C
31,BRD-K52313696,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1
32,BRD-K76205745,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
33,BRD-K17705806,CCc1ccc(OCc2ccccc2C(=O)Nc2ccc3nc(C)cc(N)c3c2)cc1
34,BRD-K31633810,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)N1Cc3ccccc3NC1=O)C2
35,BRD-K63150726,CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4c(c3)OCO4)c(=O)[nH]c12
36,BRD-K87990216,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1
37,BRD-K63874012,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1
38,BRD-A02990301,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
39,BRD-K08556791,CCCSP(=O)(OCC)SCCC
40,BRD-K53414658,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
41,BRD-K79366068,Nc1c(S(=O)(=O)O)cc(Nc2ccc(Cl)cc2)c2c1C(=O)c1ccccc1C2=O
42,BRD-K53318339,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32
43,BRD-K91145395,CC(=O)O[C@@]12C[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@H]43)[C@@H]1C2(C)C
44,BRD-K06753942,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC
45,BRD-K85133207,CC(=O)N[C@H]1C[C@@H](C(=O)Nc2cc(-c3ccc(F)cc3)ccc2N)C1
46,BRD-K55991774,Cc1ccc2nc(/C(C#N)=C/c3ccc(C)o3)[nH]c2c1
47,BRD-A63667919,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
48,BRD-A05186015,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
49,BRD-K51302260,O=c1c2cc(F)ccc2sn1-c1ccccc1Cl
50,BRD-K26548821,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@H]21
51,BRD-K17075857,Oc1c(Cl)cc(Cl)c2cccnc12
52,BRD-K24240364,CC1=NN=C(c2ccc(N)cc2)c2cc3c(cc2C1)OCO3
53,BRD-K12762134,Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2
54,BRD-A91555231,NCC(O)c1ccc(O)c(O)c1
55,BRD-K01779529,O=C(O)C(=O)CF
56,BRD-K33572481,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C
57,BRD-K77175907,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
58,BRD-K32412559,COc1ccc2c(c1O)-c1cc(O)cc3c1[C@@H](C2)N(C)CC3
59,BRD-K43880410,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
60,BRD-A82096673,NS(=O)(=O)c1ccc(N2N=C(c3ccccc3)CC2c2cccc(Br)c2)cc1
61,BRD-K25310650,COc1cc(C)c(Cc2cnc(N)nc2N)cc1OC
62,BRD-A52172093,CC(C)(C)CCN1C[C@H]2C(CNC(=O)c3cc(Cl)cc(Cl)c3)[C@H]2C1
63,BRD-A19736161,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
64,BRD-A69636825,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
65,BRD-K04833372,CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1
66,BRD-A78391468,C[C@]12C[C@H](O)C3C(CCC4=CC(=O)C=C[C@@]43C)C1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
67,BRD-A15131297,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O
68,BRD-K11801786,N=C(NO)c1cc(O)c(O)c(O)c1
69,BRD-K66206289,CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1
70,BRD-K67277431,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1
71,BRD-A42759514,Cc1ncc([N+](=O)[O-])n1CC(O)CCl
72,BRD-A01346607,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
73,BRD-K93645900,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O
74,BRD-K76274772,CCCCCCCCCCCCCC(=O)N[C@H](C)[C@@H](O)c1ccccc1
75,BRD-K53561341,CCN1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1
76,BRD-K25741894,COc1ccc2c(OC)c3ccoc3nc2c1OC
77,BRD-K87932577,Nc1n[nH]c2nc3ccccc3nc12
78,BRD-K45068323,NCCCCNS(=O)(=O)c1ccc2c(Cl)cccc2c1
79,BRD-A54880345,CCOC(=O)c1cncn1C(C)c1ccccc1
80,BRD-A58564983,CO[C@H]1CC(O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)C1O
81,BRD-K20313525,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
82,BRD-K70241288,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O
83,BRD-A43974575,NC1C[C@H]1c1ccccc1
84,BRD-K52512893,CC(=O)NNC(=O)N1Cc2ccccc2Oc2ccc(Cl)cc21
85,BRD-A19248578,C/C1=C/C(=O)O[C@@H]2C[C@@H](CC[C@H](C)/C=C\CC1)O[C@@](O)(C1CSC(=O)N1)C2
86,BRD-A67605442,CC(O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1
87,BRD-A34205397,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
88,BRD-K39987650,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
89,BRD-K26979635,O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(Cl)ccc1C(=O)O
90,BRD-K06208435,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC
91,BRD-K01638814,C1COC(NC(C2CC2)C2CC2)=N1
92,BRD-K43389675,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
93,BRD-K96134740,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(=O)CC(C)C)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C\C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
94,BRD-K92301463,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
95,BRD-K71035033,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
96,BRD-A96897502,CC12C=CC(=O)C=C1CCC1C2=CCC2(C)C1CC[C@@H]2C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1
97,BRD-K21806131,CCCCC/N=C(\N)N/N=C/c1c[nH]c2ccc(OC)cc12
98,BRD-A92439610,CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
99,BRD-A77291778,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1
100,BRD-A31575449,Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1
101,BRD-K13664374,O=C(O)C(Cl)Cl
102,BRD-K13571841,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C
103,BRD-K23583188,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O
104,BRD-K28075147,COc1ccc(-c2coc3cc(OC(C)=O)cc(OC(C)=O)c3c2=O)cc1
105,BRD-K99498722,CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O
106,BRD-A09467419,CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1
107,BRD-K82823076,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(N=[N+]=[N-])ccc1-2
108,BRD-K36009368,COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3ccc4ccccc4c3)CC2)C1=O
109,BRD-K32247306,CCC1(c2ccccc2)C(=O)NCNC1=O
110,BRD-K97810537,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
111,BRD-K90976994,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@@]21C
112,BRD-K89997465,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
113,BRD-K64670467,COC1CCC(C(=O)c2ccc3nc4c(cc3c2)CCCO4)CC1
114,BRD-A30655177,CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br
115,BRD-A79465854,CCP(CC)(CC)=[Au]SC1CC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
116,BRD-K54233340,c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1
117,BRD-K41160163,CN1CC(=O)N=C1NC(=O)Nc1cccc(Cl)c1
118,BRD-K37618799,O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
119,BRD-K16444452,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
120,BRD-A69960130,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12
121,BRD-K68191783,Cc1cn(-c2cc(C(=O)Nc3ccc(C)c(NC(=O)c4ccno4)c3)cc(C(F)(F)F)c2)cn1
122,BRD-K49668410,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
123,BRD-K93332168,Cc1cc(C(=O)NNCc2ccccc2)no1
124,BRD-K50495309,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC
125,BRD-A69512159,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
126,BRD-K84709232,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1
127,BRD-K63533170,COc1ccc(C(=O)c2c(C)n(CCN3CCOCC3)c3cc(I)ccc23)cc1
128,BRD-A43940795,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2
129,BRD-A38747044,CCC1(c2ncc[nH]2)Cc2ccccc2O1
130,BRD-A85025557,O=C(O)/C=C1\CCCc2ccccc2C1O
131,BRD-K57930253,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
132,BRD-K14643723,NCCc1ccc(S(N)(=O)=O)cc1
133,BRD-K15916496,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
134,BRD-A35511923,COC(=O)C(CCCNC(=N)N)NC(=O)CCCc1c(-c2ccccc2)[nH]c2c(F)cc(F)cc12
135,BRD-A10977446,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
136,BRD-K97056771,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1
137,BRD-K74402642,Cc1ccc(/C=C2/CNC/C(=C\c3ccc(C)cc3)C2=O)cc1
138,BRD-A10070317,CC(C)NCC(O)COc1cccc2ccccc12
139,BRD-K91733562,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O
140,BRD-A14985772,CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC(=O)C(=O)C1O
141,BRD-K87142802,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
142,BRD-K59058766,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21
143,BRD-K76840893,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1
144,BRD-K27141178,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12
145,BRD-A35338386,CCNC(=O)C1OC(n2cnc3c(N)ncnc32)C(O)C1O
146,BRD-K50417881,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
147,BRD-A95696066,CNCCC(Oc1ccccc1OC)c1ccccc1
148,BRD-K92428232,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F
149,BRD-A39052811,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1
150,BRD-A65013509,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
151,BRD-K10705233,COc1ccc2c(c1)c(CCN1CCOCC1)c(C)n2C(=O)c1cccc(Cl)c1Cl
152,BRD-K15409150,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
153,BRD-K18779551,CNCCCCOc1ccccc1Cc1ccccc1
154,BRD-K29173907,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
155,BRD-K13087974,O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
156,BRD-A62890442,CC(CN)CC(=O)O
157,BRD-A77349281,CCCCCCCCCCCCCCCC(=O)C1C(=O)OC(CO)C1=O
158,BRD-K57926513,Cc1cc2ncc(-c3ccccc3)nc2cc1C
159,BRD-A22707317,CC#CCOC(=O)c1c(C)nc2sc3c(c2c1N)CCC(O)C3
160,BRD-K14880289,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O
161,BRD-A10903566,CCn1ccnc1CC1COc2ccccc2O1
162,BRD-K70281171,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1
163,BRD-K84566043,C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1
164,BRD-K64935403,CC[C@@H]1C(=O)O[C@@H]1[C@@H](C)C/C(C)=C/[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@H](C)CC
165,BRD-K81209512,N#CC(=Cc1ccc(O)c(O)c1)C(=O)Nc1ccccc1
166,BRD-A52193669,CC1=C(CO)C(=O)O[C@H](C(C)[C@H]2CC[C@@H]3[C@H]4C[C@H]5O[C@@]56[C@@H](O)C=CC(=O)[C@@]6(C)C4CC[C@@]23C)C1
167,BRD-A30590053,O=C(NCCCN1CCCCCC1)C(c1ccccc1)C1CCCCC1
168,BRD-K60690191,Cc1cccc(C#Cc2ccccc2)n1
169,BRD-K06388322,CCCN[C@H]1CCc2nc(N)sc2C1
170,BRD-K26674531,C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
171,BRD-K99447003,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
172,BRD-K83963101,O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1
173,BRD-A73368467,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
174,BRD-K55930204,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
175,BRD-K94070024,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
176,BRD-K81729199,CCN(CC)CCCCC1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
177,BRD-K53857191,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
178,BRD-A16311756,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
179,BRD-K30296925,COc1cc(O)c(C(=O)/C=C/c2ccccc2)c(OC)c1
180,BRD-K96740444,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC
181,BRD-A67981824,CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1
182,BRD-K84141129,O=C(Nc1ccc(N2C(=O)CC3(CCCCC3)C2=O)c(Cl)c1)c1ccccn1
183,BRD-K02275692,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
184,BRD-A41450521,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1
185,BRD-K68103045,COc1ccc(-n2nc3c4c([nH]cc-3c2=O)CCCCC4)cc1
186,BRD-K43764301,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
187,BRD-K40902647,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32
188,BRD-A41995253,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCOC6CC(=O)N2C1[C@H]6[C@H]5C[C@H]43
189,BRD-A34706053,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12
190,BRD-K11742128,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
191,BRD-A39230911,NC(=O)OCC(O)COc1ccc(Cl)cc1
192,BRD-K72816382,CCC(CC)(CC(=O)Nc1cccc(C=Cc2nc(C3CCC3)cs2)c1)C(=O)O
193,BRD-K60460488,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@@H]2CCCC[C@@H]2C[C@H]1C(=O)NC(C)(C)C
194,BRD-K66944906,COc1cc2ccc(=O)oc2c(OC)c1OC
195,BRD-K56745457,O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
196,BRD-A47494775,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1
197,BRD-K12244279,N#C/C(=C(/N)Sc1ccc(N)cc1)c1ccccc1C(F)(F)F
198,BRD-K98521173,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO
199,BRD-A11007541,O=C1/C(=C\c2ccccc2)C(NC2CCCCC2)c2ccccc21
200,BRD-A01145011,O=c1ncccn1[C@@H]1O[C@H](CO)[C@H](O)C1O
